ID Peserta;JENIS KELAMIN;item1;item2;item3;item4;item5;item6;item7;item8
94_XI-4_23;P;01.00;00.00;01.00;00.00;01.00;01.00;02.00;00.00
94_XI-4_24;P;01.00;00.00;01.00;01.00;00.00;01.00;02.00;01.00
94_XI-6_32;P;00.00;00.00;00.00;01.00;00.00;00.00;01.00;01.00
94_XI-4_28;P;03.00;02.00;01.00;01.00;00.00;01.00;01.00;02.00
94_XI-6_26;P;01.00;01.00;01.00;01.00;02.00;01.00;01.00;01.00
94_XI-6_23;P;01.00;00.00;00.00;00.00;00.00;01.00;00.00;01.00
94_XI-4_32;P;00.00;00.00;00.00;00.00;00.00;01.00;00.00;00.00
94_XI-6_34;P;00.00;00.00;01.00;00.00;00.00;01.00;01.00;01.00
94_XI-4_14;P;01.00;01.00;02.00;02.00;01.00;00.00;02.00;01.00
94_XI-4_8;P;02.00;01.00;01.00;01.00;03.00;02.00;03.00;01.00
94_XI-6_11;P;00.00;01.00;01.00;01.00;00.00;01.00;01.00;01.00
94_XI-6_4;P;01.00;00.00;02.00;01.00;01.00;02.00;02.00;02.00
94_XI-6_13;P;01.00;01.00;02.00;01.00;01.00;01.00;02.00;03.00
94_XI-4_26;P;03.00;02.00;02.00;02.00;03.00;02.00;01.00;02.00
94_XI-6_10;P;01.00;03.00;02.00;01.00;00.00;01.00;03.00;02.00
94_XI-6_29;P;01.00;00.00;00.00;01.00;00.00;00.00;00.00;02.00
95_XI-7_31;L;01.00;00.00;02.00;00.00;01.00;02.00;03.00;02.00
95_XI-6_14;L;02.00;01.00;02.00;00.00;00.00;02.00;01.00;01.00
95_XI-6_17;L;01.00;02.00;02.00;00.00;02.00;00.00;01.00;01.00
95_XI-6_18;L;00.00;00.00;00.00;00.00;00.00;00.00;00.00;00.00
95_XI-7_32;L;01.00;01.00;03.00;00.00;02.00;00.00;03.00;01.00
95_XI-6_23;L;00.00;00.00;00.00;00.00;00.00;00.00;01.00;00.00
95_XI-7_18;L;02.00;01.00;01.00;00.00;01.00;00.00;00.00;00.00
95_XI-7_25;L;01.00;01.00;02.00;01.00;03.00;00.00;01.00;01.00
95_XI-6_24;L;00.00;01.00;01.00;00.00;00.00;00.00;01.00;00.00
95_XI-7_36;L;01.00;00.00;00.00;00.00;00.00;00.00;01.00;01.00
95_XI-6_12;L;00.00;00.00;00.00;00.00;00.00;00.00;00.00;00.00
95_XI-6_11;L;01.00;00.00;00.00;00.00;00.00;01.00;00.00;01.00
95_XI-7_5;L;00.00;00.00;00.00;01.00;00.00;00.00;00.00;00.00
95_XI-7_10;L;01.00;00.00;01.00;00.00;00.00;00.00;00.00;01.00
95_XI-6_28;L;01.00;00.00;01.00;00.00;00.00;00.00;01.00;00.00
95_XI-7_27;L;00.00;00.00;01.00;00.00;00.00;01.00;01.00;03.00
95_XI-6_21;L;00.00;00.00;00.00;00.00;00.00;00.00;00.00;00.00
95_XI-7_3;L;01.00;00.00;00.00;01.00;01.00;00.00;00.00;01.00
95_XI-6_19;P;01.00;01.00;01.00;01.00;01.00;01.00;01.00;01.00
95_XI-7_20;P;00.00;00.00;00.00;00.00;00.00;00.00;01.00;01.00
95_XI-6_8;P;01.00;01.00;02.00;01.00;01.00;01.00;02.00;02.00
95_XI-7_23;P;00.00;00.00;00.00;00.00;00.00;00.00;00.00;00.00
95_XI-7_9;P;03.00;02.00;03.00;00.00;03.00;03.00;03.00;02.00
95_XI-7_24;P;01.00;01.00;00.00;00.00;00.00;00.00;01.00;02.00
95_XI-6_32;P;01.00;02.00;03.00;01.00;02.00;01.00;02.00;02.00
95_XI-6_16;P;02.00;01.00;02.00;01.00;01.00;02.00;02.00;02.00
95_XI-7_15;P;00.00;01.00;01.00;00.00;00.00;01.00;00.00;01.00
95_XI-6_31;P;03.00;01.00;02.00;00.00;00.00;01.00;03.00;01.00
95_XI-6_30;P;00.00;00.00;01.00;01.00;00.00;00.00;01.00;02.00
95_XI-6_36;P;01.00;01.00;02.00;02.00;01.00;01.00;01.00;02.00
95_XI-6_7;P;01.00;01.00;02.00;01.00;00.00;00.00;01.00;01.00
95_XI-6_5;P;00.00;01.00;02.00;01.00;00.00;01.00;03.00;00.00
95_XI-7_21;P;01.00;01.00;02.00;00.00;00.00;01.00;02.00;01.00
95_XI-7_8;P;01.00;01.00;03.00;01.00;01.00;02.00;03.00;02.00
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
